step,ee_x,ee_y,ee_z,min_dist,closest_body,cbf_triggered,violation
0,0.1116,-0.0207,0.7926,0.5297,link4,0,0
1,0.1127,-0.0337,0.781,0.508,link4,0,0
2,0.1143,-0.0394,0.769,0.4903,link4,0,0
3,0.1191,-0.04,0.7561,0.475,link4,0,0
4,0.131,-0.0483,0.7416,0.4606,link4,0,0
5,0.1441,-0.0431,0.7261,0.4402,link4,0,0
6,0.1686,-0.0411,0.7073,0.4156,link4,0,0
7,0.1905,-0.0484,0.6875,0.3985,link4,0,0
8,0.2116,-0.0507,0.6668,0.3801,link4,0,0
9,0.2413,-0.0574,0.6473,0.3617,link4,0,0
10,0.287,-0.0717,0.6276,0.3433,link4,0,0
11,0.3389,-0.0823,0.6001,0.3248,link4,0,0
12,0.3893,-0.0873,0.5627,0.2582,hand,0,0
13,0.433,-0.0916,0.5199,0.1954,hand,1,0
14,0.461,-0.1016,0.4946,0.1671,hand,1,0
15,0.4828,-0.1126,0.4791,0.156,hand,1,0
16,0.503,-0.1249,0.4667,0.1525,hand,1,0
17,0.5235,-0.1366,0.4547,0.1514,hand,1,0
18,0.5446,-0.146,0.4426,0.151,hand,1,0
19,0.5644,-0.152,0.4318,0.1507,hand,1,0
20,0.5768,-0.1543,0.4239,0.1503,hand,1,0
21,0.5844,-0.155,0.4185,0.15,hand,1,1
22,0.5891,-0.1548,0.4151,0.1498,hand,1,1
23,0.5918,-0.1541,0.413,0.1498,hand,1,1
24,0.5933,-0.1532,0.4118,0.1498,hand,1,1
25,0.5942,-0.1521,0.4113,0.1498,hand,1,1
26,0.5946,-0.1509,0.4112,0.1497,hand,1,1
27,0.5947,-0.1495,0.4114,0.1497,hand,1,1
28,0.5947,-0.1482,0.4118,0.1497,hand,1,1
29,0.5946,-0.1467,0.4124,0.1497,hand,1,1
30,0.5944,-0.1453,0.4131,0.1497,hand,1,1
31,0.5942,-0.1438,0.4139,0.1497,hand,1,1
32,0.5939,-0.1423,0.4147,0.1497,hand,1,1
33,0.5937,-0.1408,0.4156,0.1496,hand,1,1
34,0.5935,-0.1392,0.4166,0.1496,hand,1,1
35,0.5932,-0.1377,0.4175,0.1496,hand,1,1
36,0.593,-0.1361,0.4186,0.1496,hand,1,1
37,0.5928,-0.1346,0.4196,0.1496,hand,1,1
38,0.5925,-0.133,0.4207,0.1496,hand,1,1
39,0.5923,-0.1314,0.4218,0.1496,hand,1,1
40,0.5921,-0.1298,0.4229,0.1496,hand,1,1
41,0.5919,-0.1282,0.424,0.1496,hand,1,1
42,0.5917,-0.1266,0.4252,0.1496,hand,1,1
43,0.5915,-0.125,0.4264,0.1496,hand,1,1
44,0.5913,-0.1234,0.4276,0.1496,hand,1,1
45,0.5911,-0.1218,0.4289,0.1496,hand,1,1
46,0.5909,-0.1201,0.4301,0.1496,hand,1,1
47,0.5907,-0.1184,0.4314,0.1496,hand,1,1
48,0.5905,-0.1167,0.4327,0.1496,hand,1,1
49,0.5903,-0.115,0.4341,0.1496,hand,1,1
50,0.5901,-0.1133,0.4354,0.1496,hand,1,1
51,0.59,-0.1115,0.4368,0.1496,hand,1,1
52,0.5898,-0.1097,0.4382,0.1497,hand,1,1
53,0.5896,-0.1079,0.4396,0.1497,hand,1,1
54,0.5895,-0.106,0.441,0.1497,hand,1,1
55,0.5893,-0.1041,0.4425,0.1497,hand,1,1
56,0.5891,-0.1022,0.444,0.1497,hand,1,1
57,0.589,-0.1002,0.4455,0.1497,hand,1,1
58,0.5888,-0.0982,0.447,0.1498,hand,1,1
59,0.5887,-0.0961,0.4485,0.1498,hand,1,1
60,0.5885,-0.094,0.4501,0.1498,hand,1,1
61,0.5884,-0.0918,0.4517,0.1498,hand,1,1
62,0.5882,-0.0896,0.4532,0.1499,hand,1,1
63,0.5881,-0.0873,0.4548,0.1499,hand,1,1
64,0.5879,-0.0849,0.4564,0.1499,hand,1,1
65,0.5878,-0.0825,0.458,0.1499,hand,1,1
66,0.5876,-0.08,0.4596,0.15,hand,1,1
67,0.5875,-0.0775,0.4612,0.15,hand,1,1
68,0.5873,-0.0749,0.4628,0.15,hand,1,0
69,0.5872,-0.0722,0.4644,0.1501,hand,1,0
70,0.587,-0.0694,0.466,0.1501,hand,1,0
71,0.5869,-0.0666,0.4676,0.1501,hand,1,0
72,0.5867,-0.0637,0.4691,0.1502,hand,1,0
73,0.5866,-0.0608,0.4706,0.1502,hand,1,0
74,0.5864,-0.0578,0.4721,0.1502,hand,1,0
75,0.5863,-0.0547,0.4735,0.1503,hand,1,0
76,0.5861,-0.0515,0.4749,0.1503,hand,1,0
77,0.5859,-0.0483,0.4763,0.1504,hand,1,0
78,0.5858,-0.0451,0.4775,0.1504,hand,1,0
79,0.5856,-0.0418,0.4788,0.1504,hand,1,0
80,0.5855,-0.0384,0.4799,0.1505,hand,1,0
81,0.5853,-0.035,0.481,0.1505,hand,1,0
82,0.5852,-0.0316,0.4821,0.1506,hand,1,0
83,0.585,-0.0282,0.483,0.1506,hand,1,0
84,0.5849,-0.0247,0.4839,0.1506,hand,1,0
85,0.5847,-0.0213,0.4846,0.1507,hand,1,0
86,0.5846,-0.0178,0.4853,0.1507,hand,1,0
87,0.5844,-0.0143,0.486,0.1507,hand,1,0
88,0.5843,-0.0108,0.4865,0.1508,hand,1,0
89,0.5842,-0.0073,0.4869,0.1508,hand,1,0
90,0.5841,-0.0039,0.4872,0.1508,hand,1,0
