step,ee_x,ee_y,ee_z,min_dist,closest_body,cbf_triggered,violation
0,0.1116,-0.0207,0.7926,0.5297,link4,0,0
1,0.1127,-0.0337,0.781,0.508,link4,0,0
2,0.1143,-0.0394,0.769,0.4903,link4,0,0
3,0.1191,-0.04,0.7561,0.475,link4,0,0
4,0.131,-0.0483,0.7416,0.4606,link4,0,0
5,0.1441,-0.0431,0.7261,0.4402,link4,0,0
6,0.1686,-0.0411,0.7073,0.4156,link4,0,0
7,0.1905,-0.0484,0.6875,0.3985,link4,0,0
8,0.2116,-0.0507,0.6668,0.3801,link4,0,0
9,0.2413,-0.0574,0.6473,0.3617,link4,0,0
10,0.287,-0.0717,0.6276,0.3433,link4,0,0
11,0.3389,-0.0823,0.6001,0.3248,link4,0,0
12,0.3893,-0.0873,0.5627,0.2582,hand,0,0
13,0.4352,-0.0906,0.5158,0.1898,hand,0,0
14,0.4694,-0.0941,0.476,0.1416,hand,0,1
15,0.4932,-0.0988,0.4549,0.1223,hand,0,1
16,0.5141,-0.106,0.4399,0.1148,hand,0,1
17,0.5343,-0.114,0.4278,0.1134,hand,0,1
18,0.5544,-0.1218,0.418,0.1155,hand,0,1
19,0.5735,-0.1284,0.4105,0.1196,hand,0,1
20,0.585,-0.1314,0.4057,0.1222,hand,0,1
21,0.5919,-0.1322,0.4027,0.1234,hand,0,1
22,0.5961,-0.1316,0.4009,0.1238,hand,0,1
23,0.5986,-0.1301,0.3999,0.1235,hand,0,1
24,0.6001,-0.1283,0.3992,0.1228,hand,0,1
25,0.6009,-0.1261,0.3989,0.122,hand,0,1
26,0.6014,-0.1238,0.3987,0.1209,hand,0,1
27,0.6017,-0.1213,0.3986,0.1198,hand,0,1
28,0.6018,-0.1189,0.3986,0.1187,hand,0,1
29,0.6019,-0.1164,0.3986,0.1175,hand,0,1
30,0.6019,-0.1138,0.3987,0.1164,hand,0,1
31,0.6019,-0.1113,0.3987,0.1152,hand,0,1
32,0.6018,-0.1088,0.3988,0.114,hand,0,1
33,0.6018,-0.1063,0.3989,0.1129,hand,0,1
34,0.6017,-0.1038,0.3989,0.1117,hand,0,1
35,0.6017,-0.1014,0.399,0.1106,hand,0,1
36,0.6016,-0.0989,0.3991,0.1095,hand,0,1
37,0.6016,-0.0965,0.3992,0.1084,hand,0,1
38,0.6015,-0.0941,0.3992,0.1073,hand,0,1
39,0.6014,-0.0918,0.3993,0.1062,hand,0,1
40,0.6014,-0.0894,0.3994,0.1052,hand,0,1
41,0.6013,-0.0871,0.3995,0.1042,hand,0,1
42,0.6012,-0.0848,0.3996,0.1032,hand,0,1
43,0.6012,-0.0825,0.3997,0.1022,hand,0,1
44,0.6011,-0.0803,0.3998,0.1012,hand,0,1
45,0.6011,-0.078,0.3998,0.1003,hand,0,1
46,0.601,-0.0758,0.3999,0.0994,hand,0,1
47,0.601,-0.0736,0.4,0.0985,hand,0,1
48,0.6009,-0.0714,0.4001,0.0976,hand,0,1
49,0.6009,-0.0693,0.4002,0.0967,hand,0,1
50,0.6008,-0.0671,0.4003,0.0959,hand,0,1
51,0.6008,-0.065,0.4003,0.0951,hand,0,1
52,0.6007,-0.0629,0.4004,0.0943,hand,0,1
53,0.6007,-0.0608,0.4005,0.0935,hand,0,1
54,0.6006,-0.0587,0.4006,0.0928,hand,0,1
55,0.6006,-0.0567,0.4007,0.092,hand,0,1
56,0.6005,-0.0547,0.4007,0.0914,hand,0,1
57,0.6005,-0.0526,0.4008,0.0907,hand,0,1
58,0.6005,-0.0506,0.4009,0.0901,hand,0,1
59,0.6004,-0.0487,0.401,0.0894,hand,0,1
60,0.6004,-0.0467,0.4011,0.0889,hand,0,1
61,0.6004,-0.0447,0.4011,0.0883,hand,0,1
62,0.6003,-0.0428,0.4012,0.0878,hand,0,1
63,0.6003,-0.0409,0.4013,0.0873,hand,0,1
64,0.6002,-0.039,0.4014,0.0868,hand,0,1
65,0.6002,-0.0371,0.4014,0.0864,hand,0,1
66,0.6002,-0.0352,0.4015,0.086,hand,0,1
67,0.6001,-0.0334,0.4016,0.0856,hand,0,1
68,0.6001,-0.0315,0.4017,0.0852,hand,0,1
69,0.6001,-0.0297,0.4017,0.0849,hand,0,1
70,0.6,-0.0279,0.4018,0.0846,hand,0,1
71,0.6,-0.0261,0.4019,0.0844,hand,0,1
72,0.6,-0.0244,0.402,0.0841,hand,0,1
73,0.6,-0.0226,0.402,0.0839,hand,0,1
74,0.5999,-0.0208,0.4021,0.0837,hand,0,1
75,0.5999,-0.0191,0.4022,0.0836,hand,0,1
76,0.5999,-0.0174,0.4023,0.0835,hand,0,1
77,0.5998,-0.0157,0.4023,0.0833,hand,0,1
78,0.5998,-0.014,0.4024,0.0833,hand,0,1
79,0.5998,-0.0123,0.4025,0.0832,hand,0,1
80,0.5998,-0.0107,0.4026,0.0832,hand,0,1
81,0.5997,-0.009,0.4026,0.0832,hand,0,1
82,0.5997,-0.0074,0.4027,0.0832,hand,0,1
83,0.5997,-0.0058,0.4028,0.0833,hand,0,1
84,0.5997,-0.0042,0.4028,0.0834,hand,0,1
85,0.5996,-0.0026,0.4029,0.0835,hand,0,1
86,0.5996,-0.001,0.403,0.0836,hand,0,1
87,0.5996,0.0006,0.4031,0.0837,hand,0,1
88,0.5996,0.0021,0.4031,0.0839,hand,0,1
89,0.5995,0.0037,0.4032,0.084,hand,0,1
90,0.5995,0.0052,0.4032,0.0842,hand,0,1
